id	Address	location_county	location_postalCity	location_postalCode	location_state	location_streetName	location_streetNumber	location_subdivision	mls_MLNumber	remarks_publicRemark
99462	159 Burk Road	Fannin	Blue Ridge	30541	Georgia	Burk Road	159		254490	"Situated on 8 acres this sprawling estate is minutes from Blue Ridge and the hospital. This craftsman style home was designed and built by Ross McCain and boast of over 5900 sq ft of upgrades ie peachtree windows. There is also an olympic size pool area. A three car garage for storage.As you walk in you are captivated by the huge wall of glass that features the gorgeous hardwoods and beautiful foilage.The interior has a cottage feel .There are many rooms inside this home to use for whatever needs your family has. There is a large master suite impressive in size on the main level along with a laundry room and another bedroom ,upstairs boast of two suites w/bonus room...the terrace level offers a bedroom and a rec room, sitting room, WB stove, cedar closet & wet bar."
99470	572 Wolf Creek Rd	Fannin	Mineral Bluff	30559	Georgia	Wolf Creek Rd	572		255124	"Premier and low maintenance hardi board, executive home is situated on 11 sprawling acres of hardwoods and pasture land.The interior features a foyer& open floor plan with cathedral ceilings in the great room. Esteemed stainless steel appliances,Dbl oven with warmer, granite finishes, HUGE walk in pantry and handmade cabinets await you in the Chefs Kitchen. Hardwood flooring and tile greet you throughout the home w 10 ft ceilings- Anderson windows line the rooms to take in the gorgeous setting. Bonus storage rooms and extra insulation make this home practical. Huge master suite with tray ceilings and handcrafted trim. Private setting with all paved access. This home also has a full terrace level partially framed in for the family that needs room to grow."
99471	1895 Wolfcreek Road	Cherokee	Murphy	28906	North Carolina	Wolfcreek Road	1895		255190	"STUNNING CUSTOM HOME on 12.98 acres and close to Blue Ridge. This property is a ""show stopper""! This beautiful home boasts an open floor plan, majestic stacked stone fireplace and gourmet kitchen. Awesome long range mountain views abound from both the master bedroom and deck areas. Custom amenities around every corner include a whole house backup generator, stainless steel appliances, separate laundry room with unique built-in cabinets for additional storage. The terrace level has a living area with wet-bar, formal dressing room and two additional bedrooms,craft room and a bath. A two car garage also has an unfinished storage/bonus room above. There is a 3 stall barn, hay storage, tack room and paddock area for the horses. THIS IS A MUST SEE!!!"
99477	2351 Old Dial Rd	Fannin	Morganton	30560	Georgia	Old Dial Rd	2351		255341	"This Award winning DONALD GARDNER low maintenance hardiplank design is a true masterpiece. 5000 square feet of luxury on 3 levels offers plenty of space for the family. Living room is oversized with many additional features including Judges panels,high ceilings, track lighting and walls of glass to take in the year round majestic views. There is a formal dining room with Coffer Ceilings, chair rail and custom trim.The master suite is on the main level and offers trey ceilings, open room with glass accentuating the views along with door to back deck. The kitchen has loads of counter space and storage,double ovens, built in appliances along with a breakfast nook situated facing the view. There is a mother in law suite located in the terrace level."
99485	994 Sharp Top Cir.	Union	Blairsville	30512	Georgia	Sharp Top Cir.	994	Sharptop View	255679	"Perfectly maintained, one owner home on 3.29 acres (two lots). This home offers a cook's kitchen with gas cooktop, large island and pantry. The ventless gas stove in the breakfast room provides warmth and atmosphere. Enjoy the views and watch wild life from the sun porch. Spacious master bedroom and laundry are located on the main floor. Bring your pickest buyers to this home, they won't be disappointed!"
99486	376 Rocking Chair Ridge	Fannin	Mineral Bluff	30559	Georgia	Rocking Chair Ridge	376	Rocking Chair Ridge	255717	"REMARKABLE TURNKEY MOUNTAIN VIEW CABIN! This 3 Bedroom, 3 Bath Cabin Features a Open Great Room with Vaulted Ceilings, Beautiful River Rock Vented Fireplace w/Gas logs, Hardwood Floors through out, Spacious Kitchen w/Lots of Counter Space & Cabinets, Master Suite w/Private Balcony, Large Open Loft for Additional Sleeping with a Covered Deck Overlooking the Mountains! Patio Level has Game/Media Room, Bedroom & Bath! Lots of Deck Space for Outdoor Entertaining! Would Make the Perfect Mountain Retreat, Full Time Home or an Excellent Rental Cabin! Less than 10 Miles from Blue Ridge! Fully Furnished Including the Hot Tub!"
99993	3799 Murphy Highway	Fannin	Mineral Bluff	30559	Georgia	Murphy Highway	3799		5612296	"You'll have plenty of room to include friends & family in your plans to enjoy the mountains. Convenient to Blue Ridge for shopping, dining and hiking and close to Murphy, NC's new casino.  After a day exploring the mountains, come back to this 5 bedroom cabin which offers two separate open living areas. Gather comfortably in the large dining room then enjoy the beauty of clear mountain evenings beside the fire pit or on one of three covered porches. Retire to the spacious master bedroom. The cabin has been a weekend rental & would be quick to get back to rental ready."
101270	440 Salem Road	Fannin	Mineral Bluff	30559	Georgia	Salem Road	440		5617484	"VIEWS/ACREAGE/PRIVATE IN-GROUND SALT WATER POOL/LEVEL ACCESS/NO RESTRICTIONS! Builders Home w/ all the custom upgrades: upgraded kitchen, custom baths, tiled showers, exposed log beams, engineered hardwood flrs, dual-fuel HVAC System, On-demand Hot water heater, double-sided fireplace w/stone floor to ceiling, covered porches w/log railings, outdoor covered pavilion overlooking Oasis salt-water pool, large sun deck, log playhouse/swing set for the children, huge workshop/building. The list goes on and on! This home offers it all. PRICED BELOW BRAND NEW APPRAISED VALUE!"
101397	132 Horse Trail Pass	Tn Counties	Copperhill	37317	Tennessee	Horse Trail Pass	132	Hideaway Falls	7528468	"BEAUTIFUL MOUNTAIN RETREAT This 3 Bedroom, 3 Bath Cabin Features: Vaulted Ceilings, Tongue & Groove Throughout, Vented Gas Log Fire Place, Hand Hewn Maple Floors, Rough Sawn Trim, Spacious Kitchen & Dining Area! Master Suite has Loft Area, Private Deck Overlooking Nature, Patio Level has a Game Room Perfect for Entertaining! Over Abundance of Decks & Porches to Enjoy the Serenity of the Mountains! 24x24 Carport that could Easily Fit an RV. This IS A ONE OWNER CABIN THAT IS IN PRISTINE CONDITION, Never Rented, but would Make a Perfect Vacation Rental! Minutes to the Ocoee River for Whitewater Rafting, Hiking & Biking! This is an Outdoor Enthusiast's Paradise!"
101580	9329 Hwy 52	Murray	Chatsworth	30705	Georgia	Hwy 52	9329		7477402	"ENDLESS VIEWS of CASCADING, dancing mountain peaks & panoramic scenery at 2700 foot elevation. Situated on 20 acs. This custom home was constructed w/ the very best materials & at the highest level of construction. Wrap around porches & outdoor entertaining galore. Australian Cypress flrs welcome you as your eyes fix to the wall of glass. High ceilings, crown molding, tile floors, surround sound, stereo speakers, 3 fps, high end granite throughout the home are just a few of the many upgrades.The King Master is on main & has direct access to the wrap around porch. There is a stunning glass room with a huge rock fireplace, two suites on the upper level and one Master Ste on the terrace level. The terrace level also has a theatre room, sauna & a full kitchen"
101776	800 Indian Trace	Fannin	Mineral Bluff	30559	Georgia	Indian Trace	800	Riverwood Meadows	237528	"200 FT OF TOCCOA RIVER FRONTAGE! This 2 Bedroom, 2 Bath Cabin + Workshop with an additional bath is in a Perfect Location! The home needs a little work, and has been a project for the current owner. With a little TLC this will make a perfect getaway cabin! Has hardwood Floors on the main floor, and could either be carpet or wood upstairs, has private balcony off the upstairs Suite... Less than 5 minutes from Grocery Store and Dining, Close to Whitewater Rafting and Hiking! BRING THE FISHING POLES!!!"
101786	132 Horse Trail Pass	Polk	Copperhill	37317	Tennessee	Horse Trail Pass	132	Hideaway Falls	246511	"~BEAUTIFUL MOUNTAIN RETREAT~ This 3 Bedroom, 3 Bath Cabin Features: Vaulted Ceilings, Tongue & Groove Throughout, Vented Gas Log Fire Place, Hand Hewn Maple Floors, Rough Sawn Trim, Spacious Kitchen & Dining Area! Master Suite has Loft Area, Private Deck Overlooking Nature, Patio Level has a Game Room Perfect for Entertaining! Over Abundance of Decks & Porches to Enjoy the Serenity of the Mountains! 24x24 Carport that could Easily Fit an RV. This IS A ONE OWNER CABIN THAT IS IN PRISTINE CONDITION, Never Rented, but would Make a Perfect Vacation Rental! Minutes to the Ocoee River for Whitewater Rafting, Hiking & Biking! This is an Outdoor Enthusiast's Paradise!"
102027	352 Northwind Lane	Gilmer	Ellijay	30540	Georgia	Northwind Lane	352		5559044	"AN INCREDIBLE MOUNTAIN ESTATE that will leave you breathless!! 6 BR/6.5 BA immaculate home w/ long-range mountain view/privacy, gourmet kitchen,  high-end appliances, granite countertops, walk-in pantry, tiled showers/baths, hardwood floors, winding staircase to upstairs bedroom suites, lg recreation room in full finished basement, expansive decking w/ screened-in porch, 3-car garage, small 1 BR/1BA guest-caretaker cottage, stacked stone outdoor pavilion w/ fireplace, small chicken coop, large barn, & plenty of fenced in pasture & creek frontage."
102446	244 Lickskillet	Fannin	Epworth	30541	Georgia	Lickskillet	244	Stillwaters Acres	7580518	"Convenient location in Epworth. Great one level living with storage space in carport. Large living room and separate dining/bonus room. Oak floors, eat in kitchen and in-house laundry. Established garden spot in backyard that is bordered by woods. Partially fenced. Ready for your finishing touches!"
102570	60 Harris Rd	Fannin	Mineral Bluff	30559	Georgia	Harris Rd	60		7550467	"FULL TIME LIVING w/COUNTRY CHARM! This home is complimented by beautiful renovations on the inside and the perfect setting on the outside. Sit on the screened porch taking in the morning view of the still and peaceful pond waters and MTN views. Master bedroom w/walk-in closet and HUGE master bath w/garden tub, 2 vanities and 3 sinks, skylights, and shower. 2nd bedroom also very large w/exclusive backyard patio access. SPACIOUS 2nd bath w/double vanities. Lots of storage throughout!! Formal living room w/fireplace, den/bonus room w/fireplace, XLARGE kitchen w/many cabinets and walk-in pantry. Screened porch, attached garage/carport/workshop, and double car detached carport w/enclosed storage and acreage to build more!!"
102643	164 Hoot Owl Hill	Fannin	Morganton	30560	Georgia	Hoot Owl Hill	164	Wilscot Winds	5566266	"BEAUTIFUL MOUNTAIN VIEW LOG CABIN IN UPSCALE GATED MOUNTAIN COMMUNITY! This 2 BR/3.5 BA Home Features Custom Tile Foyer, Spacious Custom Kitchen w/ GRANITE COUNTERS, Tile Floor & Lots of Cabinets, Actual Dining Room, Vaulted Ceilings in the Great Room, Gas Log Fireplace, & Hardwood floors, 2 Master Suites - Master Suite on Main has Jetted Tub & Shower! 2nd Master Suite Upstairs w/ Full Bath & Private Balcony, Full Loft, Full Unfinished Basement that has a Finished Bath & is Framed, Ready to Finish! Rocking Chair Front Porch & Back Decks to Enjoy the View & Nature!"
104038	211 Colonial Homes Drive #2204 Atlanta GA 30309	Fulton	Atlanta	30309	GA	Colonial Homes	211	Heritage Place	5628410	We are updating & painting.  Appointment Only.  Call Laura with any questions and for appointment 404 316-8694.  At gate dial telephone symbol then 101 to reach concierge.
104211	271 Rivertown Road	Fulton	Fairburn	30213	Georgia	Rivertown Road	271		5637780	"2-story brick home is only a few miles to ATL Airport, and minutes to downtown Fairburn. Easy drive to Palmetto and Newnan. Home has 4 bedrooms, 2.5 baths with formal dining room. Separate family room with fireplace. Eat-in kitchen with stainless steel appliances. Huge yard."
104224	204 Millbrook Farm Road	Cobb	Marietta	30068	Georgia	Millbrook Farm Road	204	Gant Quarters	5638818	"Must see this updated 4-sided brick traditional w/tons of space to entertain.Hdwd flrs thru out main. Great room features fplc, built-ins & opens to a Sunrm addition featuring a wall of windows overlooking nature's lover private backyard.Chef's kitchen with granite, breakfast area & b'fast bar. Formal DR & LR.Spacious mstr BR w/his & her's closets, mstr bath w/dbl vanities, sep shower & garden tub. Lrg secondary BR's w/plenty of closet space. Spacious finished bsmt complete w/ kitchenette, BR, full bath, family rm, rec rm & tons of storage. Desirable Swim/Tennis N'hood"
104280	110 Stonemist Court	Fulton	Roswell	30076	Georgia	Stonemist Court	110	Northcliff	5641251	"Situated on a large private wooded, cul-de-sac lot steps from the Chattahoochee River & just minutes to 400 & downtown Roswell. This gracious 4 side brick home offers granite, hdwds, beautiful 2-story foyer, family rm w/vaulted ceiling & picture windows, study, & formal dining rm. Spacious mstr retreat w/sitting area & large bath. Main level guest suite. A fully finished terrace level offers abundant entertaining space, in-law suite w/kitchen, 2-bedrooms, & a full bath. Recently renovated. Move in ready new HVAC, roof, flooring & paint. Active swim and tennis community."
104455	245 Landfall Road	Fulton	Sandy Springs	30328	Georgia	Landfall Road	245	Breakwater	5646896	
104503	2959 Miller Bottom Road	Walton	Conyers	30012	Georgia	MILLER BOTTOM Road	2959		5648044	"Expansive home with tons of large bedrooms and an Open Floor plan, hardwood floors throughout the main level on 10 fenced acres. In Beautiful Walton County, Loganville Schools. Your Main level master suite has its own sitting room and fireplace. Bring the entire family, horses and all of your other creatures to enjoy this one of a kind custom built home that sits way off the road. All of the bedrooms are huge and have tons of natural sunlight. This home has 4 mason fireplaces, a sun room and 4 bedrooms on main as well as 4 on your completed terrace level. Welcome Home!"
104514	2237 Old Brooke Lane	Dekalb	Dunwoody	30338	Georgia	Old Brooke Lane	2237	Brooke Farm	5648206	"Reduced to below $800k. Over $1 mill invested, Incredible value. Renovated and full of high end upgrades. Hardwoods, Granite, Stainless Steel, Cul-de-sac lot, Open floorplan, Master on Main, Private Office on Main, Keeping room w/ stone fireplace & coffered ceiling open to kitchen, Cathedral Ceilings Finished terrace lvl w/ wet bar, Billiard Room, Theater. Fabulous Swim/Tennis subdivision. This one has it all!"
104543	3632 Brookleigh Ne Lane	Dekalb	Atlanta	30319	Georgia	Brookleigh NE Lane	3632	The Reserve At Brookleigh	5649260	"Modern 4-sided brick townhome in one of Brookhaven's hottest new neighborhoods. The Logan plan features a L-shape kitchen w/eat-in breakfast area,formal dining rm w/ built-in butlers station open to large living area w/built-in bookshelves and sunroom. Gleaming hardwoods thru-out main level. Oversized master suite w/sitting area and private balcony. Large second bedroom with en suite bath. Fully finished terrace level w/media room,bedroom and full bath makes a perfect guest suite. Fabulous community close to shopping/dining with park, swimming pool,cabana & low HOA!"
104554	5394 Mount Vernon Way	Dekalb	Dunwoody	30338	Georgia	Mount Vernon Way	5394		5649682	"Recently renovated, 4 bedroom, 3 bathroom, Cape Cod. This spacious home features a rocking chair front porch, large living and dining rooms, a great room with built-ins, and an eat-in kitchen. The main floor features a full guest suite. The upper level features a master suite with his and hers closets and bathroom as well as two additional bedrooms, and a bonus room. Full, unfinished, daylight basement. Situated on 3.4 acres with a private level backyard. Room for workshop, RV or boat parking, additional garage. Close to schools, dining, and shopping."
104556	2940 Woodvale Court	Fulton	Alpharetta	30022	Georgia	Woodvale Court	2940	Woodvale	5649729	"Serene gated community off Haynes Bridge Rd. Master on main w/ two additional bedrooms on main level. Large open floor plan w/ hardwoods throughout. Terrace level has the perfect in-law suite. Includes separate high-end kitchen, bedroom, full bath, living space, ample storage, wine cellar, and separate entrance. Walking distance to restaurants and grocery. Minutes to North Point Mall. Price Reduction is based on the kitchen on the terrace level is NOT included."
104584	6221 Spalding Drive	Gwinnett	Peachtree Corners	30092	Georgia	Spalding Drive	6221	Spalding Gate At Neely	5571796	"Impeccable town home in gated Peachtree Corners community. Features include plantation shutters & custom built-ins. Gourmet kitchen w/antique white stained cabinets & stone backsplash; SS applcs; sep eating area. Kitchen opens to fam rm w/gas-log fplc. Hdwds on main; sep formal dining area. Level,fenced backyard & grilling patio. Upper lvl master ste w/trey ceiling & large mstr closet w/shelving system. Master bath w/raised dble vanities; jetted garden tub & walk-in shower. Two add'l bdrms & one full bath w/sep vanity areas. Designated elevator shaft space in unit."
104593	250 Pharr Road NE #1417 Atlanta GA 30305	Fulton	Atlanta	30305	Georgia	Pharr	250	Eclipse	5572969	"Fabulous corner unit window with a distant view of the city. Unit features hardwoods, granite, walk out terrace for entertaining. Unit comes with one parking space and a storage unit. Eclipse features 24/7 front desk service, business center, 10th floor pool observation deck, fitness center, and clubroom. All this steps from the new redevelopment that is Streets of Buckhead with luxury retail stores and restaurants."
104605	195 Cabots Cove Court	Fulton	Alpharetta	30022	Georgia	Cabots Cove Court	195	Cabots Cove	5573823	"Shows Beautifully. Decorator colors. Impeccable taste throughoutOpen floor plan w hardwood floors on main. Bright white kitchen cabinets w Granite counters, tiled back splash, stainless steel appliances & butlers pantry.Premium Landscaped Cul de sac lot featuring captivating views, screened porch, deck, beautiful concrete w stone accent patio. Excellent schools. Minutes from premiere shops at the Avalon & Northpoint Malls. Easy access to 400. Walking distance to the Greenway! Remodeled, up to date home. Spotless. Large rooms w lots of storage throughout"
104776	2585 Briers North Drive	Dekalb	Dunwoody	30360	Georgia	Briers North Drive	2585	Briers North	5587619	"Here it is! A lovely home in Dunwoody's ""Halloween Neighborhood""! If you like the feel of home sweet home and an old fashion neighborhood feel Victorian home, Briers North is the place for you!This home features master on the main with sitting room and fplc,corner lot brick and frame,and has been newly renovated to sell. The house has been painted both inside and out,new gutters,new carpet w/clean as a whistle basement. Two wood burning fireplaces and eat-in kitchen with extra bonus rm. This one is priced to sell! One mile from Marta. Close to 285, shopping and schools."
104814	5415 Northland Road #308 Sandy Springs GA 30342	Fulton	Sandy Springs	30342	Georgia	Northland	5415	The Regent	5590085	"Sandy Springs Condo. Wonderful midrise building great location inside 285. Convenient to GA-400,NORTHSIDE Hospital and Perimeter Mall Area. Third floor unit,large square footage,hardwood floors,walk-out balcony. Great kitchen with walk-in pantry. One bedroom with one and half bath. Master bath offers double vanity,garden tub with walk in shower. Gated parking underground with deeded space and storage unit. Building offers concierge, workout and club room."
104825	3607 Archgate Court	Fulton	Alpharetta	30004	Georgia	Archgate Court	3607	Kennewick Place	5590771	"First time on the market, newly listed, priced to sell,  is this well-maintained, beautiful brick-front home w/4 BR & 2.5 baths. Spacious flr plan & hdwd flrs on main, an open gourmet kit. w/stained cabinets, granite counter tops & SS applcs. All you need to complete a starter home for comfortable living. Upstairs are 4BR w/ a nook for exercise, reading corner or study rm for kids. Big upper hallway makes upper level look open & spacious.Beautiful, comfortable & most importantly, an affordable home in a wonderful n'hood w/pool.Close to GA 400, shop & wonderful schools!"
104852	970 Sidney Marcus Boulevard #1510 Atlanta GA 30324	Fulton	Atlanta	30324	Georgia	Sidney Marcus	970	Lenox Villas	5592782	"Beautiful Buckhead 2 BR/2 Bath Top Floor Condo w/Awesome View.Huge Fam Rm & Sep Dining w/ gorgeous hwd flrs, Cozy Fireplace,& Sliding Glass Drs out to elegant balcony! Large BRs w/Large Closets & Ldry Rm Storage! Mstr w/Walk-in closet.Mstr bath w/large garden tub too!Updated kit w/gran ctops and stainless appls.Gated community w/swimming pool, gym, & gorgeous clubhouse, pet friendly w/pet walk. Walk to Target/Best Buy,restaurants,MARTA & close to Lenox,Phipps,I-85, & GA-400. RARE Premium Oversized Covered reserved parking space near elevator.Move-in Ready & a MUST SEE!!"
104866	7445 Old Maine Trail	Fulton	Sandy Springs	30328	Georgia	Old Maine Trail	7445	Princeton Square	5593770	"Welcoming,charming,peaceful! Designed for entertaining w/chef's Kit,Sunrm,DR,LR,FR,& Studio/Play Rm. All very spacious;brick,tile,wood flrs;dual pane windows;crown molding;fresh paint;recessed lighting;updated Kit & Baths;Wet Bar off FR w/loads of cabs. Sun Rm and Studio/Play Rm along back of home with wall of windows. Mstr Ste w/Sit Area,gigantic Closet & priv vaulted Ofc. All BR's oversized,lg closets. Upstairs Hall Bath w/dbl vanity,tub/shower. Bubbling waterfall feature w/pond greet you. Brk Patio,priv lvl. Back. Active HOA, S/T."
104868	1764 Moonstone Court	Dekalb	Decatur	30033	Georgia	Moonstone Court	1764	Oak Grove	5593833	"Catch the express and have your contract with you. When you wake up in the morning this is the one you will want-no buyer's remorse. Okay where do I start? Unbelievable master suite opens to sunroom with incredible new master bath. Renovated chef's kitchen with granite and stainless opens to one family area..entrance foyer begins the beautiful hardwood flooring throughout the main level. Go up to three bedrooms or down to a bedroom and bath plus extra family room opens up to gorgeous backyard including basketball court, hot tub and park-like grounds."
104869	200 Sweetwater Trace	Fulton	Roswell	30076	Georgia	Sweetwater Trace	200	Sweetwater Club	5594067	"Sun flooded Milton HS Home with open floorplan and very high ceilings. The Gourmet Kitchen with stainless steel appliances opens to a Breakfast Area and Family Room with a cozy Fireplace. The oversized tranquile, Master Bedroom Suite on Main has two large Walk-In Closet and two oversized Master Bathroom with a Jacuzzi and the other with a separate shower. The backyard is very private and fenced in. Great for entertaining your friends and Family. Freshly painted thruout, new roof,, new HVAC. Great location close to all major highways, schools, restaurants and shopping."
104875	"2300 Peachford Road, #2207"	Dekalb	Dunwoody	30338	Georgia	Peachford Road	2300	Sterling Of Dunwoody	5594337	"One of the largest floor plans in the development plus it is an END UNIT. Kitchen features cherry stained cabinetry,SS appliances,granite countertops,hardwood flooring plus a center island. The great room has built-in cabinetry,fireplace and a French door to the balcony. Owner's suite has balcony access, large walk-in closet and full bath with separate tub and shower. Additional bedroom with bath. Full sized washer and dryer remain with the unit. Covered parking space and a storage unit."
104900	5030 N Peachtree Road	Dekalb	Dunwoody	30338	Georgia	N Peachtree Road	5030	Peachtree	5596116	"Sought after 4-sided brick 2 story built in 2003. Custom Hardwood floors in Entry/DR/Kit/Fam Rm/Stairs. Granite in Kit w/tile backsplash, SS appls, Vaulted DR/Master and Study/Nursery. Deluxe Bath in Master, Walk in Closets, Fam Rm w/fplc, Covered Patio, Fenced yard-French Doors to Patio, French Doors to Study off Master. Updated Carpet in September 2015 upstairs. Estate Sale."
104920	55 Nesbit Reserve Court	Fulton	Alpharetta	30022	Georgia	Nesbit Reserve Court	55	Nesbit Reserve	5597225	"Master on Main w/oversized walk-in closet,En-Suite with upgraded tile.3 Large BDRs Up w/2Full Baths & Loft Area. Gourmet Kitchen w/SS applianes overlooks Family Room w/Large Island and Breakfast Nook. Built by Providence Group in 2014 w/Upgrades Throughout. Wainscot in Foyer and Dining Room,Granite & backsplash,Tile in All Bath & Ldry Rm,Security & Audio Pre-Wired,Fireplc Mantel,Hardwoods on Main,Stair Balusters & More! Open Floor Plan w/Lots of Light and Walk Out Patio. Community Minutes from Rivermont Golf & Country Club."
